MONLOC_AB,StartDate,StartTime,DataLoggerLineName,Deployment,ProjectIdentifier,ActivityIdentifier,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasureUnitCode,DataType,UseForCalc,COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,12:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.74,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,13:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.93,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,13:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.07,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,13:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.25,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,13:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.41,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,14:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.54,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,14:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.68,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,14:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.81,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,14:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.92,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,15:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.02,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,15:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.12,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,15:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.17,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,15:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.21,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,16:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.2,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,16:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.21,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,16:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.21,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,16:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.18,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,17:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.15,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,17:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.08,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,17:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",12.02,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,17:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.96,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,18:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.89,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,18:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.78,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,18:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.68,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,18:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.58,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,19:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.48,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,19:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.34,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,19:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.28,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,19:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.18,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,20:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",11.08,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,20:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.99,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,20:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.89,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,20:45:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.82,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,21:00:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.73,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,21:15:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.68,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPLETH1,05/11/2024,21:30:00,21119025,2024Sum,HohRiverPrj1,MAPLETH1_20240511_2024Sum_TS,Water,"Temperature, water",10.59,deg C,Raw,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
